"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"CATEGORY";"COPYRIGHT";"DESC";"DESCRIPTION";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MP";"MPN";"OPERATING_TEMP";"OPERATING_TEMPERATURE";"PACKAGE";"PART_STATUS";"PITCH";"PRICE";"RATING";"ROHS_COMPLIANCE";"ROHS_COMPLIANT";"SERIES";"SHOWNAME";"SUB-CATEGORY";"THERMALLOSS";"TOLERANCE";"TYPE";"VALUE";"VOLTAGE_RATING";
"C1";"100uF";"C_TANTALUM-1206(3216-METRIC)";"CAPM3216X180";"Capacitor - Generic";"";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"100uF";"C_TANTALUM-1206(3216-METRIC)";"CAPM3216X180";"Capacitor - Generic";"";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"0.1uF";"C_TANTALUM-1206(3216-METRIC)";"CAPM3216X180";"Capacitor - Generic";"";"Capacitor";"";"";"";"";"";"";"";"";"NMC1206X7R104K50TRPF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D1";"LED5.4X5X1.6MM";"LED5.4X5X1.6MM";"LED5.4X5X1.6MM";"";"";"";"";"";"";"";"";"";"";"";"  AAAF5060QBFSURZGS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D2";"LED5.4X5X1.6MM";"LED5.4X5X1.6MM";"LED5.4X5X1.6MM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D3";"LED-BLUE";"LED_RADIALBLUE";"LEDRD254W60D565H860B_B";"LED - Generic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LED-BLUE";"";
"D4";"LED-BLUE";"LED_RADIALBLUE";"LEDRD254W60D565H860B_B";"LED - Generic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LED-BLUE";"";
"D5";"LED-BLUE";"LED_RADIALBLUE";"LEDRD254W60D565H860B_B";"LED - Generic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LED-BLUE";"";
"D6";"LED-BLUE";"LED_RADIALBLUE";"LEDRD254W60D565H860B_B";"LED - Generic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LED-BLUE";"";
"D7";"LED-BLUE";"LED_RADIALBLUE";"LEDRD254W60D565H860B_B";"LED - Generic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LED-BLUE";"";
"D8";"LED-BLUE";"LED_RADIALBLUE";"LEDRD254W60D565H860B_B";"LED - Generic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LED-BLUE";"";
"J1";"PINHD-1X02_1X02M";"PINHD-1X02_1X02M";"1X02";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
